Date,CLOSE,HIGH,LOW,OPEN,COUNT
2018-01-31,680.0,,,,-1.0
2018-02-28,710.0,,,,-1.0
2018-03-31,605.0,,,,-1.0
2018-04-30,600.0,,,,-1.0
2018-05-31,705.0,,,,-1.0
2018-06-30,715.0,,,,-1.0
2018-07-31,715.0,,,,-1.0
2018-08-31,730.0,,,,-1.0
2018-09-30,730.0,,,,-1.0
2018-10-31,950.0,,,,-1.0
2018-11-30,1150.0,,,,-1.0
2018-12-31,920.0,,,,-1.0
2019-01-31,910.0,,,,-1.0
2019-02-28,800.0,,,,-1.0
2019-03-31,750.0,,,,-1.0
2019-04-30,740.0,,,,-1.0
2019-05-31,690.0,,,,-1.0
2019-06-30,720.0,,,,-1.0
2019-07-31,710.0,,,,-1.0
2019-08-31,700.0,,,,-1.0
2019-09-30,880.0,,,,-1.0
2019-10-31,860.0,,,,-1.0
2019-11-30,810.0,810.0,810.0,810.0,-1.0
2019-12-31,810.0,810.0,810.0,810.0,1.0
